window,k,split_idx,train_start_ts,train_end_ts,val_start_ts,val_end_ts,val_len,msep
500,1e-06,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.920944243126988e-06
500,1e-05,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.920944156524161e-06
500,0.0001,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.920943290513671e-06
500,0.001,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.92093463218683e-06
500,0.01,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.9208482259046035e-06
500,0.1,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.920001083228911e-06
500,1.0,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.912712273094581e-06
500,10.0,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.873279552539081e-06
500,100.0,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.781853863234417e-06
500,1000.0,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.595344254119295e-06
500,10000.0,0,2023-07-05T12:30:00+00:00,2023-07-15T22:00:00+00:00,2023-07-16T03:30:00+00:00,2023-07-26T13:00:00+00:00,500,4.494177830087924e-06
500,1e-06,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.1182512832865634e-06
500,1e-05,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.118251246968722e-06
500,0.0001,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.1182508837923376e-06
500,0.001,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.11824725222994e-06
500,0.01,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.1182109567368445e-06
500,0.1,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.117850000332523e-06
500,1.0,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.1144268137893533e-06
500,10.0,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.091284829871845e-06
500,100.0,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,3.0310370073330796e-06
500,1000.0,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,2.9675009671595223e-06
500,10000.0,1,2023-07-15T22:30:00+00:00,2023-07-26T08:00:00+00:00,2023-07-26T13:30:00+00:00,2023-08-05T23:00:00+00:00,500,2.9547514006347347e-06
500,1e-06,2,2023-07-26T08:30:00+00:00,2023-08-05T18:00:00+00:00,2023-08-05T23:30:00+00:00,2023-08-16T09:00:00+00:00,500,1.9281374043785542e-06
