window,k,split_idx,train_start_ts,train_end_ts,val_start_ts,val_end_ts,val_len,msep
200,0.0,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008443516138673416
200,1e-07,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008443516132584797
200,1e-06,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008443516077787184
200,1e-05,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008443515529811827
200,0.0001,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.000844351005013058
200,0.001,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008443455260550397
200,0.01,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008442908087047252
200,0.1,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008437507661424001
200,1.0,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008389816346194223
200,10.0,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0008183580719982058
200,100.0,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0007954628118138551
200,1000.0,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0007871591034288232
200,10000.0,0,2023-06-27T00:00:00+00:00,2024-01-12T00:00:00+00:00,2024-01-23T00:00:00+00:00,2024-09-26T00:00:00+00:00,248,0.0007878008311077814
200,0.0,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007433565889171769
200,1e-07,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007433565883248988
200,1e-06,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007433565829944054
200,1e-05,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007433565296895519
200,0.0001,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007433559966496255
200,0.001,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007433506671104535
200,0.01,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007432974575369623
200,0.1,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007427737573210104
200,1.0,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007382281895828278
200,10.0,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0007174568532005604
200,100.0,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.000686723086721041
200,1000.0,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0006606000853013492
200,10000.0,1,2024-03-01T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-27T00:00:00+00:00,2025-06-01T00:00:00+00:00,248,0.0006518753064658775
500,0.0,0,2023-06-27T00:00:00+00:00,2024-11-07T00:00:00+00:00,2024-11-18T00:00:00+00:00,2025-02-23T00:00:00+00:00,98,0.0004850859555252764
