window,k,split_idx,train_start_ts,train_end_ts,val_start_ts,val_end_ts,val_len,msep
100,0.0,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010487996788649343
100,1e-07,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010487996657904626
100,1e-06,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010487995481202448
100,1e-05,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010487983714228736
100,0.0001,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010487866049277615
100,0.001,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010486689878098364
100,0.01,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010474975757179993
100,0.1,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.010362364895727443
100,1.0,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.009543585360995093
100,10.0,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.00752606278455395
100,100.0,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.006255279054003832
100,1000.0,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.0054048004520203426
100,10000.0,0,2020-11-30T00:00:00+00:00,2022-10-24T00:00:00+00:00,2023-01-09T00:00:00+00:00,2024-03-11T00:00:00+00:00,62,0.005106582423346297
100,0.0,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004441830972500658
100,1e-07,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004441830963046261
100,1e-06,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004441830877956749
100,1e-05,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.00444183002706651
100,0.0001,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004441821518653329
100,0.001,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004441736483402373
100,0.01,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004440890986228454
100,0.1,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004432890912621566
100,1.0,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004380255842963422
100,10.0,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004254926784974344
100,100.0,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004108212552750347
100,1000.0,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004060319822865866
100,10000.0,1,2022-02-07T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-18T00:00:00+00:00,2025-05-19T00:00:00+00:00,62,0.004064982463157586
200,0.0,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.0023303042836837176
200,1e-07,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.002330304284910572
200,1e-06,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.002330304295952264
200,1e-05,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.002330304406369029
200,0.0001,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.0023303055105205824
200,0.001,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.002330316550426125
200,0.01,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.002330426788704699
200,0.1,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.0023315133130141523
200,1.0,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.0023409869896443363
200,10.0,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.0023771602733447775
200,100.0,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.002297966314152568
200,1000.0,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.0020389420210914946
200,10000.0,0,2020-11-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,2024-12-09T00:00:00+00:00,2025-02-24T00:00:00+00:00,12,0.0019528632803711872
200,0.0,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004634523099758707
200,1e-07,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004634523097181706
200,1e-06,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004634523073988748
200,1e-05,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.00463452284205968
200,0.0001,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004634520522823614
200,0.001,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.00463449733592287
200,0.01,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004634266011696644
200,0.1,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004632006067321978
200,1.0,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.00461378153082382
200,10.0,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004572712125224738
200,100.0,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004612334835250821
200,1000.0,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004571523625774049
200,10000.0,1,2021-02-22T00:00:00+00:00,2024-12-16T00:00:00+00:00,2025-03-03T00:00:00+00:00,2025-05-19T00:00:00+00:00,12,0.004560368430890918
