window,k,split_idx,train_start_ts,train_end_ts,val_start_ts,val_end_ts,val_len,msep
300,0.0,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014552004707960714
300,1e-07,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014552004693735738
300,1e-06,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014552004565711004
300,1e-05,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014552003285467035
300,0.0001,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014551990483370122
300,0.001,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014551862496674822
300,0.01,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.0001455058604657832
300,0.1,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014538153026436162
300,1.0,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014439179262500787
300,10.0,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00014085432481545667
300,100.0,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00013321632316450513
300,1000.0,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00012913896534847214
300,10000.0,0,2024-06-05T04:00:00+00:00,2024-07-25T00:00:00+00:00,2024-07-26T20:00:00+00:00,2024-10-18T00:00:00+00:00,500,0.00012975237585240143
300,0.0,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00012229920070490932
300,1e-07,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.0001222992006821865
300,1e-06,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.0001222992004776809
300,1e-05,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00012229919843262596
300,0.0001,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.0001222991779821701
300,0.001,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00012229897348695445
300,0.01,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00012229692946859165
300,0.1,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00012227658213778388
300,1.0,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.000122081902574705
300,10.0,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00012071477213282142
300,100.0,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00011786855804402469
300,1000.0,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00011825448107830264
300,10000.0,1,2024-08-27T12:00:00+00:00,2024-10-16T08:00:00+00:00,2024-10-18T04:00:00+00:00,2025-01-09T08:00:00+00:00,500,0.00011918682831826948
300,0.0,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.00016037613293757785
300,1e-07,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.0001603761328067796
300,1e-06,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.0001603761316295962
300,1e-05,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.00016037611985777984
300,0.0001,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.00016037600214142134
300,0.001,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.00016037482515832512
300,0.01,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.0001603630733422111
300,0.1,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.00016024732328295179
300,1.0,2,2024-11-18T20:00:00+00:00,2025-01-07T16:00:00+00:00,2025-01-09T12:00:00+00:00,2025-04-02T16:00:00+00:00,500,0.00015923887443295386
