metric,value
pnl,80.52201768743726
cum_return_pct,0.8052201768743661
sharpe,0.23721689360911916
volatility,0.1313336980078979
max_drawdown,0.0635107679256685
avg_drawdown,0.023506713898290277
turnover,0.06033516105740015
turnover_sum,16.350828646555442
winrate,0.16077537058152794
avg_win,0.0030840749552591526
avg_loss,0.0032847126812532716
fees,0.0
impact_vs_slippage,27.55904109343305
ras_sharpe,4.1209751147660976e-05
ras_sharpe_lower,-0.16526164259398451
risk_diag_avg,{'cov_turnover_fro': 0.0011963641358000508, 'vol_mse_avg': 1.5081890014001412e-06, 'symbols': 5.0, 'malv_mean': -1.5461245291681331, 'vol_qlike_avg': -6.923862212188959, 'last_mahalanobis_d2': 3.6230867872810255}
cov_loss_avg,{'cov_port_mse': 4.397822951237721e-08, 'cov_port_qlike': -6.669942264517262}
benchmark_sharpe,-0.5174929080354526
ras_ic_lower,nan
