,group
Start,2025-06-12 13:12:00+00:00
End,2025-07-12 13:11:00+00:00
Period,30 days 00:00:00
Start Value,10000.0
End Value,8866.582503879286
Total Return [%],-11.334174961207136
Benchmark Return [%],9.069922624063498
Max Gross Exposure [%],40.77254257216051
Total Fees Paid,852.4418575781119
Max Drawdown [%],12.115310119181773
Max Drawdown Duration,29 days 19:18:00
Total Trades,143
Total Closed Trades,143
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],29.37062937062937
Best Trade [%],5.3733968556455345
Worst Trade [%],-17.834755194781454
Avg Winning Trade [%],3.283021697510554
Avg Losing Trade [%],-3.4507164479390506
Avg Winning Trade Duration,1 days 01:00:01.428571428
Avg Losing Trade Duration,1 days 02:37:11.287128712
Profit Factor,0.47199569068905534
Expectancy,-7.925996476368636
Sharpe Ratio,-10.454181111447593
Calmar Ratio,-6.344019350558509
Omega Ratio,0.9528394433564047
Sortino Ratio,-14.115148548402972
