,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,SOLUSDT
Start,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00
End,2025-07-10 00:00:00+00:00,2025-07-10 00:00:00+00:00,2025-07-10 00:00:00+00:00,2025-07-10 00:00:00+00:00,2025-07-10 00:00:00+00:00
Period,9 days 00:01:00,9 days 00:01:00,9 days 00:01:00,9 days 00:01:00,9 days 00:01:00
Start Value,2000.0,2000.0,2000.0,2000.0,2000.0
End Value,1940.7885126955007,1984.2650114086846,1967.0259510511055,1980.8271681041908,1937.7785434386042
Total Return [%],-2.9605743652249656,-0.7867494295657763,-1.6487024474447252,-0.9586415947904584,-3.1110728280697852
Benchmark Return [%],3.8940636847001997,11.46055201014704,7.4398640794081095,1.8090803968107805,1.4404754214850657
Max Gross Exposure [%],14221319.999967692,4530714.285669106,31.02858439527521,0.0,31.899000948767036
Total Fees Paid,20.167335867272588,76.43664890202842,21.753657180479234,7.251588170865279,40.80597997602539
Max Drawdown [%],3.9518960754964674,5.699976315439178,3.195393994236776,1.5201836644714017,3.766195293926671
Max Drawdown Duration,7 days 22:43:00,4 days 06:16:00,5 days 07:29:00,8 days 03:57:00,8 days 23:53:00
Total Trades,3,10,5,2,9
Total Closed Trades,2,9,4,1,8
Total Open Trades,1,1,1,1,1
Open Trade PnL,-1.2101846190806782,-4.549377071458821,3.1184578556129505,-1.4242010086240042,2.6860518880041355
Win Rate [%],0.0,44.44444444444444,25.0,0.0,25.0
Best Trade [%],-2.815917545301541,3.675954792800328,3.307685976864346,-2.958105147864197,3.2503667481662344
Worst Trade [%],-2.9842127232403395,-3.088433394280971,-3.313755170289522,-2.958105147864197,-2.9670012464737825
Avg Winning Trade [%],,3.4048902672059724,3.307685976864346,,3.245019774901118
Avg Losing Trade [%],-2.9000651342709407,-2.9476244441619217,-3.107701259205205,-2.958105147864197,-2.8846596041170334
Avg Winning Trade Duration,,1 days 10:08:15,1 days 03:26:00,,1 days 13:58:30
Avg Losing Trade Duration,4 days 09:52:30,0 days 14:55:36,2 days 10:42:00,8 days 19:57:00,0 days 22:29:20
Profit Factor,0.0,0.9241042288001686,0.35478377756621815,0.0,0.3749743147359886
Expectancy,-29.000651342709403,-1.242845724428573,-9.023126701126902,-17.748630887185183,-8.113438556174975
Sharpe Ratio,-9.202581142075436,-1.2108506740017848,-4.3306289230872945,-6.295483465916139,-7.548878922607716
Calmar Ratio,-17.82411229267093,-4.808341557966932,-15.347609058392642,-21.27164317122633,-19.18177416906512
Omega Ratio,0.9600846655626943,0.9947643219973765,0.9817572858249616,0.9737378790461979,0.9699330114503684
Sortino Ratio,-12.367318317541638,-1.6501729657008952,-6.0776562934770695,-8.6069739593461,-10.34634692070096
