,Portfolio
Symbol,Portfolio
Total Return (%),0.5
CAGR (%),35.3
Expected Return (%),0.071
Volatility (%),0.5
Final Equity,10049.79
Sharpe Ratio,2.758
Max Drawdown (%),0.87
Ulcer Index,0.006
Sortino Ratio,6.21
Calmar Ratio,40.504
Recovery Factor,0.58
VaR (95%) (%),0.0
CVaR (95%) (%),0.0
Win Rate (%),42.86
Profit Factor,1.465
Gain to Pain Ratio,0.465
Tail Ratio,2.066
Kelly Criterion,0.136
Best Day (%),0.94
Worst Day (%),-0.45
Skewness,1.012
Kurtosis,-0.024
Alpha (%),-0.25
Beta,0.425
Information Ratio,-0.268
R-Squared,0.981
Correlation,0.991
